name,address,lat,lon,category,notes,rating,accessibility
Doe Library,"Doe Library, Campanile Way, Berkeley, CA 94720",37.8724,-122.2592,reading,"Quiet north reading room, best for long sessions",love it,
Yogurt Park,"2433 Durant Ave A, Berkeley, CA 94704",37.868,-122.2598,dessert,"Open late, always a queue after 9pm",like it,
Games Of Berkeley,"2510 Durant Ave, Berkeley, CA 94704",37.8677,-122.2584,gaming,Back room has open tables on weekends,love it,
Memorial Glade,"University Dr, Berkeley, CA 94708",37.8733,-122.2594,relaxing,No paved path across the grass,just okay,
Mezzo,"2442 Telegraph Ave, Berkeley, CA 94704",37.8663,-122.2588,food,,love it,
Top Dog,"2534 Durant Ave, Berkeley, CA 94704",37.8679,-122.2574,food,Cash only,love it,
Moe's Books,"2476 Telegraph Ave, Berkeley, CA 94704",37.8656,-122.2588,bookstore,"Four floors, no lift",like it,
Pegasus Books,"2349 Shattuck Ave, Berkeley, CA 94704",37.8669,-122.2673,bookstore,,love it,
Noodle Dynasty,"2488 Telegraph Ave, Berkeley, CA 94704",37.8665,-122.2589,food,,just okay,
Recreational Sports Facility,"2301 Bancroft Way, Berkeley, CA 94720",37.8687,-122.2628,sport,,like it,
Café Milano,"2522 Bancroft Way, Berkeley, CA 94704",37.8702,-122.2657,relaxing,Big tables upstairs,just okay,
Caffe Strada,"2300 College Ave, Berkeley, CA 94704",37.8694,-122.2548,food,"Outdoor patio, very loud at noon",love it,
Half Price Books,"2026 Shattuck Ave, Berkeley, CA 94704",37.8715,-122.2686,bookstore,,love it,
Little Gem Belgian Waffles,"Telegraph Ave, Berkeley, CA 94720",37.8658,-122.2587,dessert,,like it,
Willard Park,"Regent St, Berkeley, CA 94705",37.8613,-122.2566,relaxing,,just okay,
