NAME,population,median_household_income,state,county,tract
Census Tract 4001; Alameda County; California,3094,250001,06,001,400100
Census Tract 4002; Alameda County; California,2093,225880,06,001,400200
Census Tract 4003; Alameda County; California,5727,157731,06,001,400300
Census Tract 4004; Alameda County; California,4395,159612,06,001,400400
Census Tract 4005; Alameda County; California,3822,96250,06,001,400500
Census Tract 4006; Alameda County; California,1957,134583,06,001,400600
Census Tract 4007; Alameda County; California,4404,111302,06,001,400700
Census Tract 4008; Alameda County; California,4583,129844,06,001,400800
Census Tract 4009; Alameda County; California,2752,111131,06,001,400900
Census Tract 4010; Alameda County; California,6529,131845,06,001,401000
Census Tract 4011; Alameda County; California,5627,95479,06,001,401100
Census Tract 4012; Alameda County; California,3068,117593,06,001,401200
Census Tract 4013; Alameda County; California,4368,105556,06,001,401300
Census Tract 4014; Alameda County; California,4876,87208,06,001,401400
Census Tract 4015; Alameda County; California,2827,62744,06,001,401500
Census Tract 4016; Alameda County; California,2617,135234,06,001,401600
Census Tract 4017; Alameda County; California,3519,146840,06,001,401700
Census Tract 4018; Alameda County; California,1816,69500,06,001,401800
Census Tract 4022; Alameda County; California,2385,111364,06,001,402200
Census Tract 4024; Alameda County; California,2727,42078,06,001,402400
Census Tract 4025; Alameda County; California,1877,-666666666,06,001,402500
Census Tract 4026; Alameda County; California,1255,48362,06,001,402600
Census Tract 4027; Alameda County; California,2056,97250,06,001,402700
Census Tract 4028.01; Alameda County; California,2911,42546,06,001,402801
Census Tract 4028.02; Alameda County; California,1527,18552,06,001,402802
Census Tract 4029; Alameda County; California,2111,41094,06,001,402900
Census Tract 4030; Alameda County; California,3125,50966,06,001,403000
Census Tract 4031; Alameda County; California,2174,154095,06,001,403100
Census Tract 4033.01; Alameda County; California,1807,35694,06,001,403301
Census Tract 4033.02; Alameda County; California,2687,142114,06,001,403302
Census Tract 4034.01; Alameda County; California,2641,71979,06,001,403401
Census Tract 4034.02; Alameda County; California,955,91731,06,001,403402
Census Tract 4035.01; Alameda County; California,5421,123981,06,001,403501
Census Tract 4035.02; Alameda County; California,1885,95556,06,001,403502
Census Tract 4036; Alameda County; California,4902,105588,06,001,403600
Census Tract 4037.01; Alameda County; California,2875,91030,06,001,403701
Census Tract 4037.02; Alameda County; California,2264,120795,06,001,403702
Census Tract 4038; Alameda County; California,3996,153750,06,001,403800
Census Tract 4039; Alameda County; California,3864,104342,06,001,403900
Census Tract 4040; Alameda County; California,2984,104919,06,001,404000
Census Tract 4041.01; Alameda County; California,3155,123508,06,001,404101
Census Tract 4041.02; Alameda County; California,2623,108750,06,001,404102
Census Tract 4042; Alameda County; California,3584,246193,06,001,404200
Census Tract 4043; Alameda County; California,3510,215972,06,001,404300
Census Tract 4044; Alameda County; California,5657,218272,06,001,404400
Census Tract 4045.01; Alameda County; California,1830,239271,06,001,404501
Census Tract 4045.02; Alameda County; California,6038,246431,06,001,404502
Census Tract 4046; Alameda County; California,4767,226838,06,001,404600
Census Tract 4047; Alameda County; California,2223,250001,06,001,404700
Census Tract 4048; Alameda County; California,2622,97813,06,001,404800
Census Tract 4049; Alameda County; California,4798,131921,06,001,404900
Census Tract 4050; Alameda County; California,3670,146932,06,001,405000
Census Tract 4051; Alameda County; California,4451,250001,06,001,405100
Census Tract 4052; Alameda County; California,4916,107298,06,001,405200
Census Tract 4053.01; Alameda County; California,2934,113299,06,001,405301
Census Tract 4053.02; Alameda County; California,2560,63906,06,001,405302
Census Tract 4054.01; Alameda County; California,3733,73179,06,001,405401
Census Tract 4054.02; Alameda County; California,3325,52738,06,001,405402
Census Tract 4055; Alameda County; California,3574,82740,06,001,405500
Census Tract 4056; Alameda County; California,3153,86250,06,001,405600
Census Tract 4057; Alameda County; California,3553,77372,06,001,405700
Census Tract 4058; Alameda County; California,4329,68859,06,001,405800
Census Tract 4059.01; Alameda County; California,4206,62543,06,001,405901
Census Tract 4059.02; Alameda County; California,2994,70536,06,001,405902
Census Tract 4060; Alameda County; California,4638,58197,06,001,406000
Census Tract 4061; Alameda County; California,5379,67373,06,001,406100
Census Tract 4062.01; Alameda County; California,5191,66518,06,001,406201
Census Tract 4062.02; Alameda County; California,4958,51958,06,001,406202
Census Tract 4063; Alameda County; California,4529,59722,06,001,406300
Census Tract 4064; Alameda County; California,2456,67708,06,001,406400
Census Tract 4065; Alameda County; California,6405,71167,06,001,406500
Census Tract 4066.01; Alameda County; California,4476,72208,06,001,406601
Census Tract 4066.02; Alameda County; California,2638,73214,06,001,406602
Census Tract 4067; Alameda County; California,5718,148007,06,001,406700
Census Tract 4068; Alameda County; California,3905,122525,06,001,406800
Census Tract 4069; Alameda County; California,4535,150949,06,001,406900
Census Tract 4070; Alameda County; California,6315,81959,06,001,407000
Census Tract 4071.01; Alameda County; California,3547,65144,06,001,407101
Census Tract 4071.02; Alameda County; California,4464,85375,06,001,407102
Census Tract 4072; Alameda County; California,6483,67008,06,001,407200
Census Tract 4073; Alameda County; California,2401,82639,06,001,407300
Census Tract 4074; Alameda County; California,4268,51944,06,001,407400
Census Tract 4075; Alameda County; California,3687,49643,06,001,407500
Census Tract 4076; Alameda County; California,6793,87599,06,001,407600
Census Tract 4077; Alameda County; California,4261,123107,06,001,407700
Census Tract 4078; Alameda County; California,2710,119188,06,001,407800
Census Tract 4079; Alameda County; California,3101,115500,06,001,407900
Census Tract 4080; Alameda County; California,2767,207750,06,001,408000
Census Tract 4081; Alameda County; California,7552,182083,06,001,408100
Census Tract 4082; Alameda County; California,4743,84496,06,001,408200
Census Tract 4083; Alameda County; California,4555,123939,06,001,408300
Census Tract 4084; Alameda County; California,4098,74801,06,001,408400
Census Tract 4085; Alameda County; California,5540,87292,06,001,408500
Census Tract 4086; Alameda County; California,6364,76375,06,001,408600
Census Tract 4087; Alameda County; California,7411,46786,06,001,408700
Census Tract 4088; Alameda County; California,7045,40981,06,001,408800
Census Tract 4089; Alameda County; California,4240,45045,06,001,408900
Census Tract 4090; Alameda County; California,4914,77284,06,001,409000
Census Tract 4091; Alameda County; California,2388,72697,06,001,409100
Census Tract 4092; Alameda County; California,3832,77339,06,001,409200
Census Tract 4093; Alameda County; California,5577,66288,06,001,409300
Census Tract 4094; Alameda County; California,5032,86286,06,001,409400
Census Tract 4095; Alameda County; California,4502,46750,06,001,409500
Census Tract 4096; Alameda County; California,5313,58750,06,001,409600
Census Tract 4097; Alameda County; California,5061,40870,06,001,409700
Census Tract 4098; Alameda County; California,3405,104125,06,001,409800
Census Tract 4099; Alameda County; California,3904,190813,06,001,409900
Census Tract 4100; Alameda County; California,3053,196500,06,001,410000
Census Tract 4101; Alameda County; California,2893,90388,06,001,410100
Census Tract 4102; Alameda County; California,3545,79675,06,001,410200
Census Tract 4103; Alameda County; California,3967,44167,06,001,410300
Census Tract 4104; Alameda County; California,4633,115268,06,001,410400
Census Tract 4105; Alameda County; California,3056,59402,06,001,410500
Census Tract 4201; Alameda County; California,2656,204352,06,001,420100
Census Tract 4202; Alameda County; California,3225,159563,06,001,420200
Census Tract 4203.01; Alameda County; California,2466,122578,06,001,420301
Census Tract 4203.02; Alameda County; California,2381,125486,06,001,420302
Census Tract 4204.01; Alameda County; California,1438,77083,06,001,420401
Census Tract 4204.02; Alameda County; California,1607,92000,06,001,420402
Census Tract 4205; Alameda County; California,2474,137000,06,001,420500
Census Tract 4206; Alameda County; California,3521,181678,06,001,420600
Census Tract 4211; Alameda County; California,2127,244276,06,001,421100
Census Tract 4212; Alameda County; California,3503,250001,06,001,421200
Census Tract 4213; Alameda County; California,4041,128125,06,001,421300
Census Tract 4214; Alameda County; California,1770,235000,06,001,421400
Census Tract 4215; Alameda County; California,4122,222321,06,001,421500
Census Tract 4216; Alameda County; California,3896,228547,06,001,421600
Census Tract 4217; Alameda County; California,3427,114725,06,001,421700
Census Tract 4218; Alameda County; California,2193,179868,06,001,421800
Census Tract 4219; Alameda County; California,4109,162143,06,001,421900
Census Tract 4220; Alameda County; California,2346,137841,06,001,422000
Census Tract 4221; Alameda County; California,3103,135000,06,001,422100
